index,GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
1,1002,U,-33.52742031429602,-61.46576267680604,19/20,15,16
2,1012,U,-33.45821861509694,-61.490169211439934,19/20,15,16
3,1092,U,-33.64254009764733,-61.85584319071063,19/20,15,14
4,1418,U,-33.7025802754593,-61.61740956360046,19/20,15,14
5,1441,U,-33.66060469505061,-61.45816797317338,19/20,11,10
6,1442,U,-34.3233366171911,-62.03873848968954,19/20,15,16
7,1444,U,-34.01075680748062,-61.90679494403139,19/20,11,12
8,1446,U,-34.18845644960544,-61.53102796606772,19/20,15,14
9,1447,U,-33.80131091906361,-61.3364630732122,19/20,15,16
10,1448,U,-33.791834032414606,-61.21017986410942,19/20,15,16
11,1449,U,-33.59913933731053,-61.60778623224877,19/20,15,16
