GlobalId,Cultivo,Latitud,Campania,best_q,best_q2,Longitud
1451A,A,-34.3421167,19/20,15,16,-62.25616726
1451B,A,-34.30691191,19/20,15,16,-62.28930465
1451C,A,-34.31023375,19/20,15,16,-62.1964878
1452A,A,-33.94121581,19/20,15,14,-61.50476391
1452B,A,-33.96303288,19/20,15,14,-61.49437441
1452C,A,-33.95589054,19/20,15,14,-61.45899398
443A,G,-33.80471505,18/19,4,3,-61.73684056
443B,G,-33.80539853,18/19,4,3,-61.7376332
443C,G,-33.80351207,18/19,4,3,-61.73616264
443D,G,-33.80408787,18/19,4,3,-61.73566947
1376A,T,-33.8131344,19/20,19,18,-61.75350671
1376B,T,-33.81384168,19/20,19,18,-61.75328166
1376C,T,-33.8136425,19/20,19,18,-61.75267011
1376D,T,-33.81302465,19/20,19,18,-61.75261141
1376E,T,-33.81230517,19/20,19,18,-61.75278264
1376F,T,-33.81161007,19/20,19,18,-61.75309086
1376G,T,-33.81095155,19/20,19,18,-61.75340397
1376H,T,-33.81126862,19/20,19,18,-61.75420631
1376I,T,-33.81180112,19/20,19,18,-61.75477872
201A,aa,-33.62844686,18/19,8,9,-62.00853432
201B,aa,-33.63064443,18/19,8,9,-62.00689281
201C,aa,-33.62853619,18/19,8,9,-62.01013292
455A,m,-33.80870616,18/19,4,3,-61.73300895
455B,m,-33.80980157,18/19,4,3,-61.73189945
455C,m,-33.81085358,18/19,4,3,-61.73336573
611A,m,-33.66856376,19/20,6,5,-61.90525377
758A,m,-33.80295985,19/20,3,4,-61.99972001
806A,m,-33.79168047,19/20,3,2,-61.97518581
109A,R,-33.86699935,18/19,3,4,-62.17531197
488A,R,-33.63364391,18/19,3,4,-61.37595553
488B,R,-33.6326446,18/19,3,4,-61.37344759
488C,R,-33.63179443,18/19,3,4,-61.37093965
799A,B,-33.93018942,19/20,15,16,-62.10187531
799B,B,-33.92896985,19/20,15,16,-62.10029817
808A,B,-33.78540069,19/20,15,14,-61.96769264
808B,B,-33.78773691,19/20,15,14,-61.97220948
818A,B,-33.64985198,19/20,22,21,-62.30516629
921A,B,-33.82679513,19/20,15,16,-61.49799031
